uniqueID,DraftYear,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?,Player
628,2015,"Hunter, R.J.",SG,"6'4""",185.0,27.5,33.5,3.26,10.87,1.0,No,R.J. Hunter
629,2015,"Hunter, Vince",PF,"6'7""",208.4,33.5,37.5,3.26,11.19,13.0,No,Vince Hunter
630,2015,"Johnson, Dakari",C,"6'11""",264.6,22.5,25.0,3.62,11.76,4.0,Yes,Dakari Johnson
631,2015,"Johnson, Stanley",SF,"6'5""",241.8,,,,,,Yes,Stanley Johnson
632,2015,"Jones, Tyus",PG,"6'0""",184.6,26.5,32.5,3.32,11.84,2.0,Yes,Tyus Jones
633,2015,"Kaminsky, Frank",C-PF,"6'12""",231.2,,,,,,Yes,Frank Kaminsky
634,2015,"Looney, Kevon",PF,"6'8""",222.4,,,,,,Yes,Kevon Looney
635,2015,"Lyles, Trey",PF,"6'9""",241.2,,,,,,Yes,Trey Lyles
636,2015,"Martin, Jarell",PF,"6'8""",238.6,28.5,35.0,3.27,11.2,19.0,Yes,Jarell Martin
637,2015,"McConnell, TJ",PG,"6'0""",187.8,26.0,31.5,3.3,10.95,7.0,No,TJ McConnell
638,2015,"McCullough, Chris",PF,"6'8""",199.0,,,,,,Yes,Chris McCullough
639,2015,"Mickey, Jordan",PF,"6'7""",238.0,33.0,37.5,3.28,11.72,9.0,Yes,Jordan Mickey
640,2015,"Nance, Larry",PF,"6'8""",226.6,29.0,37.5,3.25,10.93,10.0,No,Larry Nance
641,2015,"Oubre, Kelly",SF-SG,"6'6""",202.8,34.5,37.0,3.32,11.09,7.0,No,Kelly Oubre
642,2015,"Payne, Cameron",PG,"6'1""",182.8,29.8,35.5,3.28,10.9,0.0,Yes,Cameron Payne
643,2015,"Petteway, Terran",SG,"6'5""",209.2,25.0,31.0,3.32,10.91,15.0,No,Terran Petteway
644,2015,"Portis, Bobby",PF,"6'10""",246.2,25.0,31.5,3.56,11.78,5.0,Yes,Bobby Portis
645,2015,"Powell, Norman",SG,"6'3""",215.4,32.5,40.5,3.2,10.69,5.0,Yes,Norman Powell
646,2015,"Qualls, Michael",SG-SF,"6'4""",201.4,34.0,39.5,3.18,11.88,9.0,No,Michael Qualls
647,2015,"Randle, Chasson",PG,"6'0""",178.8,33.5,39.5,3.2,10.63,6.0,No,Chasson Randle
648,2015,"Rozier, Terry",PG-SG,"6'0""",190.2,33.0,38.0,3.15,10.84,7.0,Yes,Terry Rozier
649,2015,"Russell, D?Angelo",PG-SG,"6'3""",193.4,,,,,,No,D?Angelo Russell
650,2015,"Sykes, Keifer",PG,"5'10""",167.2,34.0,43.0,3.13,10.47,8.0,No,Keifer Sykes
651,2015,"Thornton, Marcus",PG-SG,"6'2""",177.4,34.5,43.0,3.02,10.78,3.0,Yes,Marcus Thornton
652,2015,"Tokoto, J.P.",SF-SG,"6'5""",195.8,34.5,40.0,3.27,10.97,12.0,No,J.P. Tokoto
653,2015,"Turner, Myles",C-PF,"6'10""",238.6,,,,,,Yes,Myles Turner
654,2015,"Upshaw, Robert",C,"6'11""",258.2,,,,,,No,Robert Upshaw
655,2015,"Vaughn, Rashad",SG,"6'4""",198.6,28.0,34.0,3.21,11.4,5.0,Yes,Rashad Vaughn
656,2015,"Walker, Chris",PF,"6'9""",208.0,30.5,37.0,3.35,11.25,6.0,No,Chris Walker
657,2015,"Wells, Dez",SG,"6'3""",208.8,31.5,39.0,3.2,10.56,15.0,No,Dez Wells
658,2015,"Williams, Alan",PF,"6'7""",261.4,25.5,28.5,3.5,12.26,8.0,No,Alan Williams
659,2015,"Winslow, Justise",SF,"6'4""",221.8,,,,,,Yes,Justise Winslow
660,2015,"Wood, Christian",PF,"6'9""",216.0,,,,,,No,Christian Wood
661,2015,"Wright, Delon",PG,"6'4""",181.4,29.5,31.0,3.29,11.16,4.0,Yes,Delon Wright
662,2014,"Adams, Jordan",SG,"6'4""",208.8,24.5,29.5,3.5,12.13,,Yes,Jordan Adams
663,2014,"Anderson, Kyle",SF,"6'8""",230.1,,,,,,Yes,Kyle Anderson
664,2014,"Antetokounmpo, Thanasis",SF,"6'5""",205.2,31.5,39.5,3.18,11.39,,Yes,Thanasis Antetokounmpo
665,2014,"Bachynski, Jordan",PF,"7'1""",254.1,29.0,33.0,3.36,12.15,,No,Jordan Bachynski
666,2014,"Bairstow, Cameron",PF,"6'9""",252.4,31.0,33.5,3.37,11.39,,Yes,Cameron Bairstow
667,2014,"Birch, Khem",PF,"6'8""",208.8,30.5,35.5,3.26,11.6,,No,Khem Birch
668,2014,"Brown, Alec",PF,"7'0""",231.2,27.0,30.0,3.48,12.05,,Yes,Alec Brown
669,2014,"Brown, Jabari",SG,"6'3""",201.9,28.0,32.0,3.5,11.6,,No,Jabari Brown
670,2014,"Brown, Markel",SG,"6'2""",184.4,36.5,43.5,3.18,12.62,,Yes,Markel Brown
671,2014,"Burton, Deonte",PG,"6'0""",192.8,29.0,39.5,3.28,11.28,,No,Deonte Burton
672,2014,"Christon, Semaj",PG,"6'2""",186.0,30.5,36.5,3.32,11.55,,Yes,Semaj Christon
673,2014,"Clarkson, Jordan",PG,"6'3""",186.3,33.0,38.5,3.28,10.76,,Yes,Jordan Clarkson
674,2014,"Craft, Aaron",PG,"6'1""",191.6,29.0,32.0,3.26,10.78,,No,Aaron Craft
675,2014,"Daniels, DeAndre",SF,"6'7""",196.0,26.5,32.0,3.44,11.46,,Yes,DeAndre Daniels
676,2014,"Dinwiddie, Spencer",PG,"6'4""",204.9,,,,,,Yes,Spencer Dinwiddie
677,2014,"Early, Cleanthony",SF,"6'6""",209.4,34.0,40.0,3.18,11.15,,Yes,Cleanthony Early
678,2014,"Ejim, Melvin",SF,"6'5""",218.5,29.5,35.0,3.14,11.55,,No,Melvin Ejim
679,2014,"Ennis, Tyler",PG,"6'1""",181.5,29.0,36.0,3.3,11.12,,Yes,Tyler Ennis
680,2014,"Exum, Dante",SG,"6'4""",196.3,31.5,34.5,3.19,10.75,,Yes,Dante Exum
681,2014,"Fair, C.J.",SF,"6'6""",218.1,27.0,35.0,3.32,11.0,,No,C.J. Fair
682,2014,"Gordon, Aaron",PF,"6'8""",220.1,32.5,39.0,3.27,10.81,,Yes,Aaron Gordon
683,2014,"Grant, Jerami",SF,"6'6""",214.0,,,,,,Yes,Jerami Grant
684,2014,"Hairston, P.J.",SG,"6'4""",228.8,32.0,37.0,3.32,11.12,,No,P.J. Hairston
685,2014,"Harris, Gary",SG,"6'2""",204.8,,,,,,Yes,Gary Harris
686,2014,"Harris, Joe",SG,"6'5""",215.0,28.5,33.5,3.31,11.11,,Yes,Joe Harris
687,2014,"Hood, Rodney",SF,"6'7""",208.2,29.0,36.0,3.38,11.21,,Yes,Rodney Hood
688,2014,"Jefferson, Cory",PF,"6'8""",218.4,33.0,37.5,3.36,12.63,,Yes,Cory Jefferson
689,2014,"Johnson, Nick",SG,"6'2""",198.0,33.5,41.5,3.27,10.8,,Yes,Nick Johnson
690,2014,"Kilpatrick, Sean",SG,"6'2""",218.7,,,,,,No,Sean Kilpatrick
691,2014,"Kirk, Alex",PF,"6'9""",252.0,28.5,31.5,3.48,11.2,,No,Alex Kirk
692,2014,"LaVine, Zach",PG,"6'4""",180.9,33.5,41.5,3.19,10.42,,Yes,Zach LaVine
693,2014,"Marble, Devyn",SG,"6'5""",192.4,29.0,35.0,3.28,11.32,,Yes,Devyn Marble
694,2014,"McAdoo, James",PF,"6'8""",227.6,29.5,34.0,3.28,11.61,,No,James McAdoo
695,2014,"McDaniels, K.J.",SF,"6'4""",195.6,33.0,37.0,3.1,12.71,,No,K.J. McDaniels
696,2014,"McDermott, Doug",SF,"6'6""",218.0,28.5,36.5,3.29,11.1,,Yes,Doug McDermott
697,2014,"McRae, Jordan",SG,"6'4""",179.4,27.5,34.5,3.39,11.07,,Yes,Jordan McRae
698,2014,"Napier, Shabazz",PG,"5'11""",175.2,30.5,37.5,3.2,11.6,,Yes,Shabazz Napier
699,2014,"O?Bryant III, Johnny",PF,"6'7""",256.8,31.0,35.5,3.45,11.57,,No,Johnny O?Bryant III
700,2014,"Patterson, Lamar",SG,"6'4""",226.0,27.5,32.5,3.45,11.63,,Yes,Lamar Patterson
701,2014,"Payne, Adreian",PF,"6'9""",238.5,,,,,,Yes,Adreian Payne
702,2014,"Payton, Elfrid",PG,"6'2""",185.4,31.5,35.5,3.23,11.06,,Yes,Elfrid Payton
703,2014,"Powell, Dwight",PF,"6'10""",234.4,28.5,35.0,3.2,11.28,,Yes,Dwight Powell
704,2014,"Randle, Julius",PF,"6'8""",249.7,29.0,35.5,3.27,11.45,,Yes,Julius Randle
705,2014,"Robinson III, Glenn",SF,"6'6""",211.4,36.5,41.5,3.15,11.22,,No,Glenn Robinson III
