Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9,2021
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.2,-.011,-5.3,-0.9,2021
13,13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8,2021
14,14,GSW,Moses Moody,Arkansas,5,315,5769,2515,770,325,.447,.378,.773,18.3,8.0,2.4,1.0,11.6,.096,-1.0,1.5,2021
15,15,WAS,Corey Kispert,Gonzaga,5,350,8643,3761,954,523,.473,.380,.803,24.7,10.7,2.7,1.5,11.1,.062,-2.3,-0.6,2021
16,16,OKC,Alperen Şengün,,5,358,10499,6049,3086,1605,.518,.281,.699,29.3,16.9,8.6,4.5,30.5,.140,3.1,13.4,2021
17,17,MEM,Trey Murphy III,Virginia,5,317,9197,4868,1353,712,.459,.382,.878,29.0,15.4,4.3,2.2,24.4,.128,1.6,8.3,2021
18,18,OKC,Tre Mann,Florida,5,234,4525,1998,605,501,.402,.345,.795,19.3,8.5,2.6,2.1,1.9,.020,-3.6,-1.8,2021
19,19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2,2021
20,20,ATL,Jalen Johnson,Duke,5,256,6867,3644,1895,1036,.497,.335,.751,26.8,14.2,7.4,4.0,15.9,.111,2.2,7.2,2021
21,21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7,2021
22,22,LAL,Isaiah Jackson,Kentucky,5,219,3346,1540,987,168,.605,.189,.666,15.3,7.0,4.5,0.8,10.3,.148,-0.4,1.3,2021
23,23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2,2021
24,24,HOU,Josh Christopher,Arizona State,3,152,2189,987,266,231,.451,.273,.737,14.4,6.5,1.8,1.5,0.2,.003,-3.9,-1.1,2021
25,25,LAC,Quentin Grimes,Houston,5,318,8151,3531,1020,732,.446,.366,.793,25.6,11.1,3.2,2.3,14.4,.085,-0.7,2.7,2021
26,26,DEN,Bones Hyland,VCU,5,257,4351,2366,530,676,.411,.370,.832,16.9,9.2,2.1,2.6,7.4,.082,-0.2,2.0,2021
27,27,BRK,Cam Thomas,LSU,5,257,5861,3822,624,550,.435,.340,.851,22.8,14.9,2.4,2.1,5.0,.041,-2.3,-0.4,2021
28,28,PHI,Jaden Springer,Tennessee,4,110,967,316,152,85,.409,.238,.773,8.8,2.9,1.4,0.8,1.4,.068,-2.7,-0.2,2021
